,word,freq,probability
1,right now,19167,0.008095495
2,cant wait,17539,0.007407883
3,last night,13177,0.005565521
4,dont know,12216,0.005159627
5,im going,10079,0.00425703
6,looking forward,10031,0.004236757
7,feel like,9171,0.003873522
8,happy birthday,8260,0.003488746
9,good morning,7790,0.003290234
10,looks like,7680,0.003243773
11,can get,7547,0.003187599
12,just got,7460,0.003150853
13,let know,7111,0.003003447
14,im sure,6777,0.002862377
15,good luck,6566,0.002773257
16,thanks follow,6465,0.002730598
17,make sure,6435,0.002717927
18,first time,6244,0.002637255
19,dont want,6175,0.002608112
20,new york,6169,0.002605578
21,dont think,5989,0.002529552
22,mothers day,5815,0.00245606
23,next week,5780,0.002441277
24,follow back,5598,0.002364407
25,last year,5332,0.002252057
26,years ago,5263,0.002222914
27,last week,5050,0.00213295
28,one day,4964,0.002096626
29,im just,4909,0.002073396
30,look like,4848,0.002047632
31,can see,4661,0.001968649
32,sounds like,4605,0.001944997
33,im gonna,4594,0.001940351
34,high school,4575,0.001932326
35,even though,4424,0.001868549
36,great day,4412,0.00186348
37,social media,4285,0.00180984
38,lets go,4194,0.001771404
39,just like,4149,0.001752398
40,dont like,4134,0.001746062
41,thanks rt,4133,0.00174564
42,dont get,4121,0.001740572
43,every day,4096,0.001730012
44,dont forget,3913,0.001652719
45,get back,3877,0.001637514
46,wait see,3865,0.001632446
47,every time,3846,0.001624421
48,can make,3767,0.001591054
49,next time,3755,0.001585986
50,please follow,3748,0.001583029
51,now im,3714,0.001568669
52,long time,3705,0.001564867
53,thanks following,3693,0.001559799
54,new year,3688,0.001557687
55,go back,3648,0.001540792
56,will get,3601,0.001520941
57,just saw,3587,0.001515028
58,thanks much,3566,0.001506158
59,let us,3559,0.001503202
60,come back,3535,0.001493065
61,im still,3533,0.00149222
62,next year,3513,0.001483773
63,cant believe,3463,0.001462655
64,join us,3407,0.001439002
65,will never,3397,0.001434778
66,thank much,3383,0.001428865
67,year old,3340,0.001410704
68,look forward,3333,0.001407747
69,getting ready,3238,0.001367622
70,happy mothers,3187,0.001346081
71,can help,3170,0.001338901
72,know im,3158,0.001333833
73,one thing,3131,0.001322429
74,dont even,3095,0.001307224
75,didnt know,3055,0.001290329
76,im glad,3054,0.001289907
77,im sorry,3027,0.001278503
78,just want,2969,0.001254006
79,think im,2929,0.001237111
80,many people,2903,0.001226129
81,great time,2848,0.001202899
82,stay tuned,2833,0.001196564
83,ice cream,2825,0.001193185
84,little bit,2821,0.001191495
85,pretty much,2802,0.00118347
86,good day,2773,0.001171222
87,need get,2742,0.001158128
