,word,freq,probability
1,just finished mi run,270,0.009224777
2,happy cinco de mayo,243,0.008302299
3,happy st patricks day,238,0.00813147
4,cake cake cake cake,228,0.007789812
5,happy mothers day moms,227,0.007755646
6,let us know can,216,0.007379822
7,please let us know,199,0.006799002
8,martin luther king jr,198,0.006764837
9,let us know think,197,0.006730671
10,please please please please,195,0.006662339
11,happy new year everyone,187,0.006389012
12,happy mothers day mothers,181,0.006184017
13,get real rewards just,178,0.00608152
14,real rewards just watching,178,0.00608152
15,rewards just watching tv,178,0.00608152
16,dont think ive ever,142,0.004851549
17,thanks follow looking forward,135,0.004612389
18,let us know need,133,0.004544057
19,omg omg omg omg,123,0.004202398
20,ha ha ha ha,122,0.004168233
21,love love love love,120,0.004099901
22,finished mi run nike,118,0.004031569
23,mi run nike gps,118,0.004031569
24,let know can help,117,0.003997403
25,hope everyone great weekend,115,0.003929072
26,us know can help,114,0.003894906
27,la la la la,112,0.003826574
28,toothbrush express offers great,110,0.003758243
29,hey just met crazy,108,0.003689911
30,happy mothers day mom,107,0.003655745
31,yes yes yes yes,106,0.003621579
32,follow ill follow back,106,0.003621579
33,run time nike gps,105,0.003587413
34,rain rain go away,104,0.003553247
35,level mp cost duration,102,0.003484916
36,mp cost duration seconds,102,0.003484916
37,thanks follow look forward,101,0.00345075
38,follow will follow back,98,0.003348252
39,im really looking forward,96,0.003279921
40,visit wwwradiotagrcomwfuv tag song,96,0.003279921
41,make dreams come true,94,0.003211589
42,buy one get one,92,0.003143257
43,happy mothers day beautiful,92,0.003143257
44,heres number call maybe,92,0.003143257
45,hope feel better soon,90,0.003074926
46,can u please follow,88,0.003006594
47,just wanted let know,87,0.002972428
48,just met crazy heres,87,0.002972428
49,great time last night,86,0.002938262
50,cant wait see u,86,0.002938262
51,finished mi run time,86,0.002938262
52,mi run time nike,86,0.002938262
53,thanks following hilltop twitter,86,0.002938262
54,make dream come true,85,0.002904096
55,cant wait get back,85,0.002904096
56,can get follow back,84,0.002869931
57,texas family law tip,84,0.002869931
58,family law tip day,84,0.002869931
59,cant remember last time,83,0.002835765
60,great way start day,83,0.002835765
61,cant wait see guys,83,0.002835765
62,g certified wet tshirt,83,0.002835765
63,certified wet tshirt contest,83,0.002835765
64,wet tshirt contest friday,83,0.002835765
65,tshirt contest friday club,83,0.002835765
