,word,freq,probability
1,cant wait see,3342,0.008162328
2,happy mothers day,3135,0.007656762
3,let us know,2330,0.005690672
4,happy new year,1822,0.004449959
5,im pretty sure,1382,0.003375325
6,dont even know,1025,0.002503407
7,cinco de mayo,1002,0.002447233
8,looking forward seeing,911,0.002224979
9,feel like im,904,0.002207883
10,cant wait get,852,0.002080881
11,new york city,843,0.0020589
12,im looking forward,764,0.001865954
13,cant wait till,718,0.001753606
14,love love love,646,0.001577757
15,cant wait hear,640,0.001563103
16,happy valentines day,627,0.001531352
17,just got back,619,0.001511814
18,ive ever seen,616,0.001504487
19,st patricks day,614,0.001499602
20,new years eve,571,0.001394581
21,dont feel like,547,0.001335965
22,come see us,544,0.001328638
23,keep good work,542,0.001323753
24,please please please,533,0.001301772
25,good morning everyone,508,0.001240713
26,right now im,506,0.001235828
27,think im going,497,0.001213847
28,look forward seeing,488,0.001191866
29,just got home,478,0.001167443
30,ill let know,477,0.001165
31,please let know,460,0.00112348
32,im sure will,459,0.001121038
33,hope everyone great,443,0.00108196
34,thanks following us,436,0.001064864
35,new york times,434,0.001059979
36,follow back please,434,0.001059979
37,dont know im,429,0.001047767
38,please follow back,416,0.001016017
39,couple weeks ago,415,0.001013575
40,come join us,412,0.001006248
41,really looking forward,405,0.000989151
42,dont get wrong,401,0.000979382
43,ive never seen,394,0.000962285
44,new york ny,383,0.000935419
45,just let know,378,0.000923208
46,ha ha ha,377,0.000920765
47,just got done,377,0.000920765
48,two years ago,373,0.000910996
49,lets just say,370,0.000903669
50,happy th birthday,361,0.000881688
51,hope great day,361,0.000881688
52,cant wait go,355,0.000867034
53,im big fan,349,0.00085238
54,dreams come true,348,0.000849937
55,didnt even know,345,0.00084261
56,long time ago,344,0.000840168
57,cant wait til,343,0.000837725
58,hope see soon,339,0.000827956
59,yes yes yes,334,0.000815744
60,just wanted say,334,0.000815744
61,thanks everyone came,334,0.000815744
62,will let know,333,0.000813302
63,dont want go,328,0.00080109
64,let know can,327,0.000798648
65,hope youre well,322,0.000786436
66,dont think can,316,0.000771782
67,just dont know,312,0.000762013
68,one day will,310,0.000757128
69,show last night,308,0.000752243
70,let know think,302,0.000737589
71,im going go,301,0.000735147
72,will follow back,299,0.000730262
73,rock n roll,296,0.000722935
74,im going try,295,0.000720493
75,makes feel like,293,0.000715608
76,cake cake cake,291,0.000710723
77,happy birthday hope,290,0.000708281
78,dream come true,289,0.000705839
79,cant wait next,287,0.000700954
80,martin luther king,286,0.000698512
81,im gonna go,285,0.000696069
82,im just going,285,0.000696069
83,blah blah blah,284,0.000693627
84,keep great work,283,0.000691185
85,hope feel better,283,0.000691185
86,today good day,280,0.000683858
87,just make sure,280,0.000683858
88,sounds like great,278,0.000678973
89,every single day,277,0.00067653
90,think im gonna,275,0.000671646
91,thanks kind words,275,0.000671646
92,go back sleep,274,0.000669203
93,make feel better,273,0.000666761
94,just finished mi,272,0.000664319
95,cant get enough,270,0.000659434
96,finished mi run,270,0.000659434
97,sounds like fun,268,0.000654549
98,really dont want,266,0.000649665
99,happy hump day,266,0.000649665
100,couple years ago,264,0.00064478
101,im going get,263,0.000642338
102,make sure check,262,0.000639895
103,know can help,262,0.000639895
104,dont think ive,261,0.000637453
105,im just gonna,261,0.000637453
106,happy cinco de,261,0.000637453
107,come say hi,259,0.000632568
108,hope great weekend,258,0.000630126
109,ralph waldo emerson,258,0.000630126
110,st pattys day,258,0.000630126
111,preheat oven degrees,257,0.000627684
112,looking forward meeting,256,0.000625241
113,happy new years,256,0.000625241
114,sounds like good,255,0.000622799
115,good morning world,254,0.000620356
116,please feel free,253,0.000617914
117,give us call,252,0.000615472
118,every time see,250,0.000610587
119,first time ever,249,0.000608145
120,never say never,249,0.000608145
121,good right now,249,0.000608145
122,omg omg omg,249,0.000608145
123,looking forward next,248,0.000605702
124,people dont know,247,0.00060326
125,first time since,243,0.000593491
126,happy st patricks,242,0.000591048
127,think like man,242,0.000591048
128,good morning happy,241,0.000588606
129,id love see,241,0.000588606
130,im going bed,241,0.000588606
131,will never forget,239,0.000583721
132,make sure get,238,0.000581279
133,im just saying,238,0.000581279
134,dont wanna go,238,0.000581279
135,ive always wanted,237,0.000578837
136,mothers day moms,236,0.000576394
137,just little bit,236,0.000576394
138,years ago today,234,0.00057151
139,looking forward hearing,234,0.00057151
140,life right now,232,0.000566625
141,still cant believe,232,0.000566625
142,great way start,230,0.00056174
143,never thought id,230,0.00056174
144,im trying get,230,0.00056174
145,will take place,229,0.000559298
146,follow follow back,229,0.000559298
147,id like see,228,0.000556855
